product_name,dosage_form,dosage_form_colour,dosage_form_shape,dosage_form_marking,adulterant_type,manufacturer_name,manufacturer_country
Hua Long Sheng Wu Brand Li Jia Li (&quot;F + F&quot; Super Enforcement Capsule) 2500mg (华龙生物牌力加力超强生力胶囊),Capsule,Gold,Oblong,na,Sildenafil; AcetilNAacid,Xi Zang Hua Long Sheng Wu Bao Jian Pin You Xian Ze Ren Gong Si (西藏华龙生物保健品有限责任公司),China
Huang Wei Lu Rong 0.5g Capsule (皇威鹿茸胶囊),Capsule,Red,Oblong,na,Sibutramine; Sildenafil; Glibenclamide; Tadalafil,Qin Huang Dao Huang Wei Zhi Yao Chang (秦皇岛皇威制药厂),China
Huo Luo Jing Dan (活絡金丹),Capsule,Red,Oblong,na,Dexamethasone; Prednisolone; Indomethacin,中国天津仁济药厂出品,China
India God Lotion Spray （印度神油）,Spray,na,na,na,Procaine,na,na
Ji Yin Yu Gen (基因育根™),Capsule,Red,Oblong,na,Sibutramine; Sildenafil; Tadalafil; Diclofenac,Imayasu Health (USA) Industry Company Limited,United States
Jian Min Bao Jian Brand HuaTuo 2000mg Capsule (健民保健牌华佗神丹),Capsule,Red,Oblong,na,Sildenafil; Tadalafil,Tibet Jianmin HealthCare Product Co.; Ltd (西藏健民保健品有限公司),China
Jian Min Bao Jian Brand Wolf 2000mg Capsule (健民保健极品狼胶囊),Capsule,Red,Oblong,na,Sildenafil,Tibet Jianmin HealthCare Product Co.; Ltd (西藏健民保健品有限公司),China
JianBu HuQian Wan Capsule (健步虎潛丸),Capsule,Red; White,Oblong,健步虎潛丸,Chlorpheniramine; Dexamethasone; Frusemide; Pheniramine,Wan Shou Tang Medical Co. Ltd; Beijing (北京万寿堂制药厂),na
Jin Huang Jin Brand Nan Gen Jing Hua Su 1800mg Capsule (金黄金牌男根精华素),Capsule,Blue; White,Oblong,na,Sildenafil; Sulfosildenafil; Sulfohomosildenafil,Xiang Gang Jin Huang Jin Ke Ji Kai Fa You Xian Gong Si (香港金黄金科技开发有限公司),China
Jin Sheng Li Brand America Brother 1000mg Tablet (金聖力牌美国威哥王),Tablet,Blue,Diamond,VAG,Sildenafil,Xi Zang Jin Sheng Li Bao Jian Pin You Xian Gong Si (西藏金聖力保健品有限公司),China
Jin Sheng Li Brand China Vigers 2500mg Capsule (金聖力牌中華偉哥),Capsule,Green,Oblong,金聖力 and two creatures facing one another,Sildenafil,na,na
Jin Sheng Li Brand Huang Jin Shen Bao 3g (金聖力牌黄金腎寳3g),Capsule,Green,Oblong,金聖力 and two creatures facing one another,Sibutramine; Sildenafil; Tadalafil,西藏金聖力保健品有限公司,na
Jin Sheng Li Brand Qiang Gen Bao Jiao Nang 500mg (金聖力牌强根宝胶囊),Capsule,Green,Oblong,na,Sildenafil,Xi Zang Jin Sheng Li Bao Jian Pin You Xian Gong Si (西藏金聖力保健品有限公司),na
Jin Sheng Li Brand Zhong Hua Niu Bao1800mg Pill (金聖力牌中華牛寳),Pill,Black,Round,na,Sildenafil; Tadalafil,Xi Zang Jin Sheng Li Bao Jian Pin You Xian Gong Si (西藏金聖力保健品有限公司),China
Jin Sheng Li Shi Bian Wang 1000mg Tablet (金聖力十鞭王),Tablet,Blue,Diamond,VAG,Sildenafil,Xi Zang Jin Sheng Li Bao Jian Pin You Xian Gong Si (西藏金圣力保健品有限公司),na
